date,/m/0cycc
2013-12-29,27
2014-01-05,37
2014-01-12,36
2014-01-19,39
2014-01-26,36
2014-02-02,32
2014-02-09,27
2014-02-16,26
2014-02-23,24
2014-03-02,21
2014-03-09,20
2014-03-16,17
2014-03-23,16
2014-03-30,14
2014-04-06,14
2014-04-13,14
2014-04-20,15
2014-04-27,12
2014-05-04,12
2014-05-11,11
2014-05-18,11
2014-05-25,10
2014-06-01,9
2014-06-08,8
2014-06-15,8
2014-06-22,8
2014-06-29,9
2014-07-06,8
2014-07-13,8
2014-07-20,8
2014-07-27,8
2014-08-03,9
2014-08-10,10
2014-08-17,10
2014-08-24,10
2014-08-31,10
2014-09-07,12
2014-09-14,15
2014-09-21,17
2014-09-28,20
2014-10-05,23
2014-10-12,25
2014-10-19,23
2014-10-26,21
2014-11-02,22
2014-11-09,20
2014-11-16,20
2014-11-23,19
2014-11-30,23
2014-12-07,25
2014-12-14,30
2014-12-21,34
2014-12-28,40
2015-01-04,40
2015-01-11,37
2015-01-18,39
2015-01-25,37
2015-02-01,36
2015-02-08,37
2015-02-15,43
2015-02-22,38
2015-03-01,32
2015-03-08,26
2015-03-15,22
2015-03-22,20
2015-03-29,17
2015-04-05,17
2015-04-12,16
2015-04-19,15
2015-04-26,13
2015-05-03,14
2015-05-10,14
2015-05-17,14
2015-05-24,12
2015-05-31,11
2015-06-07,11
2015-06-14,10
2015-06-21,9
2015-06-28,9
2015-07-05,9
2015-07-12,9
2015-07-19,8
2015-07-26,9
2015-08-02,9
2015-08-09,8
2015-08-16,9
2015-08-23,10
2015-08-30,11
2015-09-06,12
2015-09-13,14
2015-09-20,16
2015-09-27,18
2015-10-04,22
2015-10-11,23
2015-10-18,24
2015-10-25,22
2015-11-01,22
2015-11-08,21
2015-11-15,20
2015-11-22,19
2015-11-29,19
2015-12-06,20
2015-12-13,19
2015-12-20,18
2015-12-27,18
2016-01-03,22
2016-01-10,28
2016-01-17,34
2016-01-24,45
2016-01-31,43
2016-02-07,43
2016-02-14,42
2016-02-21,43
2016-02-28,40
2016-03-06,38
2016-03-13,32
2016-03-20,28
2016-03-27,26
2016-04-03,24
2016-04-10,21
2016-04-17,19
2016-04-24,17
2016-05-01,15
2016-05-08,14
2016-05-15,14
2016-05-22,15
2016-05-29,13
2016-06-05,12
2016-06-12,12
2016-06-19,10
2016-06-26,10
2016-07-03,9
2016-07-10,9
2016-07-17,9
2016-07-24,9
2016-07-31,8
2016-08-07,8
2016-08-14,9
2016-08-21,10
2016-08-28,11
2016-09-04,13
2016-09-11,15
2016-09-18,18
2016-09-25,21
2016-10-02,22
2016-10-09,25
2016-10-16,24
2016-10-23,24
2016-10-30,24
2016-11-06,25
2016-11-13,26
2016-11-20,24
2016-11-27,27
2016-12-04,27
2016-12-11,29
2016-12-18,33
2016-12-25,37
2017-01-01,41
2017-01-08,41
2017-01-15,41
2017-01-22,43
2017-01-29,45
2017-02-05,44
2017-02-12,39
2017-02-19,35
2017-02-26,28
2017-03-05,25
2017-03-12,24
2017-03-19,24
2017-03-26,22
2017-04-02,20
2017-04-09,19
2017-04-16,18
2017-04-23,18
2017-04-30,16
2017-05-07,16
2017-05-14,16
2017-05-21,15
2017-05-28,15
2017-06-04,15
2017-06-11,14
2017-06-18,13
2017-06-25,14
2017-07-02,14
2017-07-09,12
2017-07-16,13
2017-07-23,13
2017-07-30,13
2017-08-06,15
2017-08-13,16
2017-08-20,17
2017-08-27,16
2017-09-03,18
2017-09-10,21
2017-09-17,24
2017-09-24,25
2017-10-01,28
2017-10-08,29
2017-10-15,29
2017-10-22,30
2017-10-29,27
2017-11-05,29
2017-11-12,27
2017-11-19,24
2017-11-26,27
2017-12-03,31
2017-12-10,33
2017-12-17,41
2017-12-24,53
2017-12-31,59
2018-01-07,82
2018-01-14,90
2018-01-21,99
2018-01-28,100
2018-02-04,87
2018-02-11,74
2018-02-18,59
2018-02-25,45
2018-03-04,39
2018-03-11,33
2018-03-18,29
2018-03-25,24
2018-04-01,21
2018-04-08,20
2018-04-15,18
2018-04-22,19
2018-04-29,16
2018-05-06,16
2018-05-13,15
2018-05-20,14
2018-05-27,13
2018-06-03,12
2018-06-10,13
2018-06-17,12
2018-06-24,12
2018-07-01,11
2018-07-08,12
2018-07-15,11
2018-07-22,11
2018-07-29,10
2018-08-05,11
2018-08-12,12
2018-08-19,12
2018-08-26,13
2018-09-02,16
2018-09-09,19
2018-09-16,21
2018-09-23,24
2018-09-30,27
2018-10-07,30
2018-10-14,34
2018-10-21,32
2018-10-28,30
2018-11-04,30
2018-11-11,29
2018-11-18,26
2018-11-25,28
2018-12-02,26
2018-12-09,28
2018-12-16,31
2018-12-23,37
2018-12-30,40
